,date,value,period,onediffvalue
0,Oct 07 2013,482.2895397337533,2013-10-07,
1,Oct 08 2013,585.8152494000572,2013-10-08,103.52570966630384
2,Oct 09 2013,470.3041669154727,2013-10-09,-115.51108248458445
3,Oct 10 2013,424.47920746024073,2013-10-10,-45.824959455231976
4,Oct 11 2013,570.2111950817399,2013-10-11,145.73198762149917
5,Oct 12 2013,653.3509177487334,2013-10-12,83.13972266699352
6,Oct 13 2013,697.2624973556727,2013-10-13,43.91157960693931
7,Oct 14 2013,529.4645481051948,2013-10-14,-167.79794925047793
8,Oct 15 2013,465.4596780806413,2013-10-15,-64.0048700245535
9,Oct 16 2013,541.2574670961508,2013-10-16,75.79778901550947
10,Oct 17 2013,489.24604906210146,2013-10-17,-52.01141803404931
11,Oct 18 2013,552.2037853080019,2013-10-18,62.957736245900435
12,Oct 19 2013,621.9305189846623,2013-10-19,69.72673367666039
13,Oct 20 2013,676.7333932427504,2013-10-20,54.80287425808808
14,Oct 21 2013,529.1325693166642,2013-10-21,-147.60082392608615
15,Oct 22 2013,530.6959437304359,2013-10-22,1.5633744137717258
16,Oct 23 2013,563.0038937407991,2013-10-23,32.30795001036313
17,Oct 24 2013,570.0036013830947,2013-10-24,6.999707642295675
18,Oct 25 2013,675.0637733888695,2013-10-25,105.0601720057748
19,Oct 26 2013,584.2388286976121,2013-10-26,-90.82494469125743
20,Oct 27 2013,661.8645542951338,2013-10-27,77.62572559752164
21,Oct 28 2013,559.0924921997802,2013-10-28,-102.77206209535359
22,Oct 29 2013,553.0731984612128,2013-10-29,-6.019293738567399
23,Oct 30 2013,589.2866777869029,2013-10-30,36.21347932569017
24,Oct 31 2013,590.0840113778853,2013-10-31,0.7973335909823618
25,Nov 01 2013,545.1487832181941,2013-11-01,-44.93522815969118
26,Nov 02 2013,615.9474357616223,2013-11-02,70.79865254342815
27,Nov 03 2013,697.9772436190474,2013-11-03,82.02980785742511
28,Nov 04 2013,551.421600554006,2013-11-04,-146.5556430650414
29,Nov 05 2013,598.3956385236575,2013-11-05,46.97403796965148
30,Nov 06 2013,524.2625680779649,2013-11-06,-74.13307044569251
31,Nov 07 2013,587.08632894571,2013-11-07,62.82376086774502
32,Nov 08 2013,505.7369110650507,2013-11-08,-81.34941788065925
33,Nov 09 2013,590.2366861666594,2013-11-09,84.49977510160869
34,Nov 10 2013,689.6844009082806,2013-11-10,99.44771474162121
35,Nov 11 2013,600.8631648767129,2013-11-11,-88.82123603156776
36,Nov 12 2013,547.7789129532247,2013-11-12,-53.08425192348818
37,Nov 13 2013,521.6232883525612,2013-11-13,-26.155624600663486
38,Nov 14 2013,569.6857279113846,2013-11-14,48.06243955882337
39,Nov 15 2013,582.002332319261,2013-11-15,12.316604407876412
40,Nov 16 2013,568.9959577844991,2013-11-16,-13.006374534761903
41,Nov 17 2013,591.7018629914396,2013-11-17,22.705905206940542
42,Nov 18 2013,557.9066493671319,2013-11-18,-33.795213624307735
43,Nov 19 2013,592.0647499812167,2013-11-19,34.15810061408479
44,Nov 20 2013,483.1810663705154,2013-11-20,-108.88368361070127
45,Nov 21 2013,463.061479703397,2013-11-21,-20.11958666711837
46,Nov 22 2013,565.599394174829,2013-11-22,102.53791447143192
47,Nov 23 2013,825.603611127367,2013-11-23,260.00421695253806
48,Nov 24 2013,591.0716354972452,2013-11-24,-234.5319756301218
49,Nov 25 2013,650.366464521188,2013-11-25,59.29482902394284
50,Nov 26 2013,585.7168711306432,2013-11-26,-64.64959339054485
51,Nov 27 2013,581.7532334354424,2013-11-27,-3.9636376952007595
52,Nov 28 2013,803.1365258638048,2013-11-28,221.38329242836232
53,Nov 29 2013,683.5125097516533,2013-11-29,-119.62401611215148
54,Nov 30 2013,659.3097116548811,2013-11-30,-24.2027980967722
55,Dec 01 2013,568.3870912740406,2013-12-01,-90.9226203808405
56,Dec 02 2013,500.01955160353117,2013-12-02,-68.36753967050942
57,Dec 03 2013,550.4811174433215,2013-12-03,50.46156583979035
58,Dec 04 2013,608.1894320343267,2013-12-04,57.708314591005205
59,Dec 05 2013,578.3823222254681,2013-12-05,-29.807109808858627
60,Dec 06 2013,577.2630350806355,2013-12-06,-1.1192871448325832
61,Dec 07 2013,646.8463092634655,2013-12-07,69.58327418283
62,Dec 08 2013,689.0444373501731,2013-12-08,42.198128086707584
63,Dec 09 2013,559.3599905756766,2013-12-09,-129.68444677449645
64,Dec 10 2013,565.7120511938135,2013-12-10,6.352060618136875
65,Dec 11 2013,505.8172668095077,2013-12-11,-59.89478438430581
66,Dec 12 2013,619.3348221137664,2013-12-12,113.51755530425874
67,Dec 13 2013,634.0669385849496,2013-12-13,14.73211647118319
68,Dec 14 2013,676.6312377525193,2013-12-14,42.56429916756963
69,Dec 15 2013,729.2831618964061,2013-12-15,52.651924143886845
70,Dec 16 2013,569.8632611046978,2013-12-16,-159.4199007917083
71,Dec 17 2013,545.4151306878239,2013-12-17,-24.448130416873937
72,Dec 18 2013,572.8515677956542,2013-12-18,27.43643710783033
73,Dec 19 2013,562.0485799105245,2013-12-19,-10.80298788512971
74,Dec 20 2013,615.6879896713475,2013-12-20,53.639409760823014
75,Dec 21 2013,662.6278739382678,2013-12-21,46.93988426692033
76,Dec 22 2013,750.706031070979,2013-12-22,88.07815713271111
77,Dec 23 2013,2192.988539616859,2013-12-23,1442.2825085458799
