,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Christmas Day (Observed),Christmas Day (Observed)_lower,Christmas Day (Observed)_upper,Columbus Day,Columbus Day_lower,Columbus Day_upper,Independence Day,Independence Day_lower,Independence Day_upper,Independence Day (Observed),Independence Day (Observed)_lower,Independence Day (Observed)_upper,Labor Day,Labor Day_lower,Labor Day_upper,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day_lower","Martin Luther King, Jr. Day_upper",Memorial Day,Memorial Day_lower,Memorial Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,New Year's Day (Observed),New Year's Day (Observed)_lower,New Year's Day (Observed)_upper,Thanksgiving,Thanksgiving_lower,Thanksgiving_upper,Veterans Day,Veterans Day_lower,Veterans Day_upper,Veterans Day (Observed),Veterans Day (Observed)_lower,Veterans Day (Observed)_upper,Washington's Birthday,Washington's Birthday_lower,Washington's Birthday_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2013-10-07,616.9099827379449,462.91589433589013,734.1753927942929,616.9099827379449,616.9099827379449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.233506531517623,-17.233506531517623,-17.233506531517623,0.0,0.0,0.0,-31.519363390341184,-31.519363390341184,-31.519363390341184,14.285856858823559,14.285856858823559,14.285856858823559,0.0,0.0,0.0,599.6764762064273
1,2013-10-08,617.0025772242974,462.9622650648697,731.4565456948085,617.0025772242974,617.0025772242974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.341157454275674,-22.341157454275674,-22.341157454275674,0.0,0.0,0.0,-34.64968273725678,-34.64968273725678,-34.64968273725678,12.30852528298111,12.30852528298111,12.30852528298111,0.0,0.0,0.0,594.6614197700217
2,2013-10-09,617.0951717106499,457.7172372727382,705.2877800902245,617.0951717106499,617.0951717106499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.66958959048858,-33.66958959048858,-33.66958959048858,0.0,0.0,0.0,-43.03512645387234,-43.03512645387234,-43.03512645387234,9.365536863383761,9.365536863383761,9.365536863383761,0.0,0.0,0.0,583.4255821201613
3,2013-10-10,617.1877661970025,442.56244242896287,719.5561816372742,617.1877661970025,617.1877661970025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.870300801001875,-27.870300801001875,-27.870300801001875,0.0,0.0,0.0,-33.40596750869904,-33.40596750869904,-33.40596750869904,5.535666707697171,5.535666707697171,5.535666707697171,0.0,0.0,0.0,589.3174653960006
4,2013-10-11,617.280360683355,466.79510226481864,733.7849396348004,617.280360683355,617.280360683355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.481120716488988,-18.481120716488988,-18.481120716488988,0.0,0.0,0.0,-19.400169475639657,-19.400169475639657,-19.400169475639657,0.9190487591506702,0.9190487591506702,0.9190487591506702,0.0,0.0,0.0,598.799239966866
5,2013-10-12,617.3729551697074,552.3045330786263,834.270604608016,617.3729551697074,617.3729551697074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.00793642513128,73.00793642513128,73.00793642513128,0.0,0.0,0.0,77.37310733427617,77.37310733427617,77.37310733427617,-4.365170909144904,-4.365170909144904,-4.365170909144904,0.0,0.0,0.0,690.3808915948387
6,2013-10-13,617.4655496560599,558.882525845615,831.7496544584534,617.4655496560599,617.4655496560599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.45553590209192,74.45553590209192,74.45553590209192,0.0,0.0,0.0,84.63720223164064,84.63720223164064,84.63720223164064,-10.181666329548733,-10.181666329548733,-10.181666329548733,0.0,0.0,0.0,691.9210855581518
7,2013-10-14,617.5581441424124,439.48484779380595,695.1860593422513,617.5581441424124,617.5581441424124,0.0,0.0,0.0,0.0,0.0,0.0,-2.4387324415875566,-2.4387324415875566,-2.4387324415875566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.3402740414488,-50.3402740414488,-50.3402740414488,-2.4387324415875566,-2.4387324415875566,-2.4387324415875566,-31.519363390415734,-31.519363390415734,-31.519363390415734,-16.3821782094455,-16.3821782094455,-16.3821782094455,0.0,0.0,0.0,567.2178701009636
8,2013-10-15,617.650738628765,431.85561029001485,682.6840603716246,617.650738628765,617.650738628765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57.45877532088961,-57.45877532088961,-57.45877532088961,0.0,0.0,0.0,-34.649682737275036,-34.649682737275036,-34.649682737275036,-22.809092583614568,-22.809092583614568,-22.809092583614568,0.0,0.0,0.0,560.1919633078754
9,2013-10-16,617.7433331151175,412.0483597128697,680.5805514125324,617.7433331151175,617.7433331151175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-72.33438686034384,-72.33438686034384,-72.33438686034384,0.0,0.0,0.0,-43.03512645386232,-43.03512645386232,-43.03512645386232,-29.299260406481523,-29.299260406481523,-29.299260406481523,0.0,0.0,0.0,545.4089462547736
10,2013-10-17,617.83592760147,414.4826310750688,680.7037462000968,617.83592760147,617.83592760147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-69.09392796625787,-69.09392796625787,-69.09392796625787,0.0,0.0,0.0,-33.40596750880102,-33.40596750880102,-33.40596750880102,-35.68796045745684,-35.68796045745684,-35.68796045745684,0.0,0.0,0.0,548.7419996352121
11,2013-10-18,617.9285220878224,428.23650340849224,696.8891680747953,617.9285220878224,617.9285220878224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61.213073509688016,-61.213073509688016,-61.213073509688016,0.0,0.0,0.0,-19.40016947565882,-19.40016947565882,-19.40016947565882,-41.8129040340292,-41.8129040340292,-41.8129040340292,0.0,0.0,0.0,556.7154485781344
12,2013-10-19,618.0211165741749,519.8899091187725,780.9931717401406,618.0211165741749,618.0211165741749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.854928632656314,29.854928632656314,29.854928632656314,0.0,0.0,0.0,77.37310733419577,77.37310733419577,77.37310733419577,-47.51817870153945,-47.51817870153945,-47.51817870153945,0.0,0.0,0.0,647.8760452068312
13,2013-10-20,618.1137110605274,507.1188327241479,787.3813466060901,618.1137110605274,618.1137110605274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.979172341550612,31.979172341550612,31.979172341550612,0.0,0.0,0.0,84.63720223166425,84.63720223166425,84.63720223166425,-52.65802989011364,-52.65802989011364,-52.65802989011364,0.0,0.0,0.0,650.092883402078
14,2013-10-21,618.20630554688,405.57077823093033,663.1226302027242,618.20630554688,618.20630554688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-88.61974672776812,-88.61974672776812,-88.61974672776812,0.0,0.0,0.0,-31.519363390262715,-31.519363390262715,-31.519363390262715,-57.1003833375054,-57.1003833375054,-57.1003833375054,0.0,0.0,0.0,529.5865588191119
15,2013-10-22,618.2989000332325,388.2522024814125,649.9329918895451,618.2989000332325,618.2989000332325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-95.37970089696321,-95.37970089696321,-95.37970089696321,0.0,0.0,0.0,-34.649682737293276,-34.649682737293276,-34.649682737293276,-60.73001815966993,-60.73001815966993,-60.73001815966993,0.0,0.0,0.0,522.9191991362693
